Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Basic,Chrome 61.0.3163.100,,2560-11-07 13:32:07,2560-11-07 13:36:41,4m - 34.062s,FAILED
,,,,,,
Test Cases/1. Start Page (without login)/Single Verbatim without login,Chrome 61.0.3163.100,,2560-11-07 13:32:08,2560-11-07 13:32:57,49.216s,PASSED
openBrowser,Chrome 61.0.3163.100,,2560-11-07 13:32:08,2560-11-07 13:32:11,2.590s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2560-11-07 13:32:11,2560-11-07 13:32:11,0.310s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2560-11-07 13:32:11,2560-11-07 13:32:16,4.665s,PASSED
click,Chrome 61.0.3163.100,\u0E01\u0E14\u0E1B\u0E38\u0E48\u0E21 Predict,2560-11-07 13:32:16,2560-11-07 13:32:16,0.228s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,\u0E22\u0E37\u0E19\u0E22\u0E31\u0E19\u0E02\u0E49\u0E2D\u0E04\u0E27\u0E32\u0E21\u0E41\u0E08\u0E49\u0E07\u0E40\u0E15\u0E37\u0E2D\u0E19 Verbatim is not null,2560-11-07 13:32:16,2560-11-07 13:32:16,0.236s,PASSED
setText,Chrome 61.0.3163.100,\u0E01\u0E23\u0E2D\u0E01\u0E02\u0E49\u0E2D\u0E04\u0E27\u0E32\u0E21 predict,2560-11-07 13:32:16,2560-11-07 13:32:17,0.356s,PASSED
click,Chrome 61.0.3163.100,\u0E01\u0E14\u0E1B\u0E38\u0E48\u0E21 Predict,2560-11-07 13:32:17,2560-11-07 13:32:17,0.063s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,\u0E15\u0E23\u0E27\u0E08\u0E2A\u0E2D\u0E1A\u0E1C\u0E25\u0E25\u0E31\u0E1E\u0E18\u0E4C Predict ,2560-11-07 13:32:17,2560-11-07 13:32:37,19.718s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,\u0E15\u0E23\u0E27\u0E08\u0E2A\u0E2D\u0E1A\u0E1C\u0E25\u0E25\u0E31\u0E1E\u0E18\u0E4C Predict ,2560-11-07 13:32:37,2560-11-07 13:32:37,0.073s,PASSED
setText,Chrome 61.0.3163.100,\u0E01\u0E23\u0E2D\u0E01\u0E02\u0E49\u0E2D\u0E04\u0E27\u0E32\u0E21 predict \u0E17\u0E35\u0E48\u0E40\u0E1B\u0E47\u0E19\u0E04\u0E33\u0E2B\u0E22\u0E32\u0E1A,2560-11-07 13:32:37,2560-11-07 13:32:37,0.418s,PASSED
click,Chrome 61.0.3163.100,\u0E01\u0E14\u0E1B\u0E38\u0E48\u0E21 Predict,2560-11-07 13:32:37,2560-11-07 13:32:37,0.102s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,\u0E15\u0E23\u0E27\u0E08\u0E2A\u0E2D\u0E1A\u0E1C\u0E25\u0E25\u0E31\u0E1E\u0E18\u0E4C Predict ,2560-11-07 13:32:37,2560-11-07 13:32:57,19.693s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,\u0E15\u0E23\u0E27\u0E08\u0E2A\u0E2D\u0E1A\u0E1C\u0E25\u0E25\u0E31\u0E1E\u0E18\u0E4C critical,2560-11-07 13:32:57,2560-11-07 13:32:57,0.103s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2560-11-07 13:32:57,2560-11-07 13:32:57,0.003s,NOT_RUN
,,,,,,
Test Cases/2. Login/Sign Up,Chrome 61.0.3163.100,,2560-11-07 13:32:57,2560-11-07 13:33:13,15.802s,PASSED
openBrowser,Chrome 61.0.3163.100,\u0E40\u0E1B\u0E34\u0E14\u0E40\u0E1A\u0E23\u0E32\u0E40\u0E0B\u0E2D\u0E23\u0E4C,2560-11-07 13:32:58,2560-11-07 13:32:58,0.003s,NOT_RUN
maximizeWindow,Chrome 61.0.3163.100,\u0E02\u0E22\u0E32\u0E22\u0E2B\u0E19\u0E49\u0E32\u0E15\u0E48\u0E32\u0E07\u0E40\u0E1A\u0E23\u0E32\u0E40\u0E0B\u0E2D\u0E23\u0E4C,2560-11-07 13:32:58,2560-11-07 13:32:58,0.001s,NOT_RUN
navigateToUrl,Chrome 61.0.3163.100,\u0E40\u0E02\u0E49\u0E32\u0E2A\u0E39\u0E48 URL,2560-11-07 13:32:58,2560-11-07 13:32:58,0.001s,NOT_RUN
click,Chrome 61.0.3163.100,\u0E04\u0E25\u0E34\u0E01\u0E1B\u0E38\u0E48\u0E21 Login,2560-11-07 13:32:58,2560-11-07 13:32:58,0.172s,PASSED
scrollToElement,Chrome 61.0.3163.100,\u0E40\u0E25\u0E37\u0E48\u0E2D\u0E19\u0E2B\u0E19\u0E49\u0E32\u0E15\u0E48\u0E32\u0E07\u0E21\u0E32\u0E22\u0E31\u0E07\u0E1B\u0E38\u0E48\u0E21 Sign Up,2560-11-07 13:32:58,2560-11-07 13:32:58,0.089s,PASSED
click,Chrome 61.0.3163.100,\u0E04\u0E25\u0E34\u0E01\u0E1B\u0E38\u0E48\u0E21 Sign Up,2560-11-07 13:32:58,2560-11-07 13:32:58,0.163s,PASSED
Statement - date = new java.util.Date(),Chrome 61.0.3163.100,\u0E40\u0E01\u0E47\u0E1A\u0E40\u0E27\u0E25\u0E32\u0E1B\u0E31\u0E08\u0E38\u0E1A\u0E31\u0E19\u0E02\u0E2D\u0E07\u0E40\u0E04\u0E23\u0E37\u0E48\u0E2D\u0E07,2560-11-07 13:32:58,2560-11-07 13:32:58,0.016s,PASSED
Statement - df = new java.text.SimpleDateFormat(),Chrome 61.0.3163.100,\u0E40\u0E01\u0E47\u0E1A\u0E40\u0E27\u0E25\u0E32\u0E1B\u0E31\u0E08\u0E38\u0E1A\u0E31\u0E19\u0E02\u0E2D\u0E07\u0E40\u0E04\u0E23\u0E37\u0E48\u0E2D\u0E07,2560-11-07 13:32:58,2560-11-07 13:32:58,0.012s,PASSED
"Statement - df.applyPattern(""ddmmyyyyHHmmss"")",Chrome 61.0.3163.100,\u0E40\u0E01\u0E47\u0E1A\u0E40\u0E27\u0E25\u0E32\u0E1B\u0E31\u0E08\u0E38\u0E1A\u0E31\u0E19\u0E02\u0E2D\u0E07\u0E40\u0E04\u0E23\u0E37\u0E48\u0E2D\u0E07,2560-11-07 13:32:58,2560-11-07 13:32:58,0.006s,PASSED
setText,Chrome 61.0.3163.100,\u0E01\u0E23\u0E2D\u0E01 Username,2560-11-07 13:32:58,2560-11-07 13:32:58,0.272s,PASSED
setText,Chrome 61.0.3163.100,\u0E01\u0E23\u0E2D\u0E01\u0E23\u0E2B\u0E31\u0E2A\u0E1C\u0E48\u0E32\u0E19,2560-11-07 13:32:58,2560-11-07 13:32:59,0.221s,PASSED
setText,Chrome 61.0.3163.100,\u0E01\u0E23\u0E2D\u0E01\u0E22\u0E37\u0E19\u0E22\u0E31\u0E19\u0E23\u0E2B\u0E31\u0E2A\u0E1C\u0E48\u0E32\u0E19,2560-11-07 13:32:59,2560-11-07 13:32:59,0.431s,PASSED
setText,Chrome 61.0.3163.100,\u0E01\u0E23\u0E2D\u0E01\u0E0A\u0E37\u0E48\u0E2D,2560-11-07 13:32:59,2560-11-07 13:33:00,0.621s,PASSED
setText,Chrome 61.0.3163.100,\u0E01\u0E23\u0E2D\u0E01\u0E19\u0E32\u0E21\u0E2A\u0E01\u0E38\u0E25,2560-11-07 13:33:00,2560-11-07 13:33:00,0.256s,PASSED
setText,Chrome 61.0.3163.100,\u0E01\u0E23\u0E2D\u0E01\u0E2D\u0E35\u0E40\u0E21\u0E25,2560-11-07 13:33:00,2560-11-07 13:33:00,0.266s,PASSED
selectOptionByValue,Chrome 61.0.3163.100,\u0E40\u0E25\u0E37\u0E2D\u0E01\u0E04\u0E33\u0E16\u0E32\u0E21,2560-11-07 13:33:00,2560-11-07 13:33:00,0.237s,PASSED
setText,Chrome 61.0.3163.100,\u0E01\u0E23\u0E2D\u0E01\u0E04\u0E33\u0E15\u0E2D\u0E1A,2560-11-07 13:33:00,2560-11-07 13:33:01,0.180s,PASSED
verifyElementNotClickable,Chrome 61.0.3163.100,\u0E22\u0E37\u0E19\u0E22\u0E31\u0E19\u0E1B\u0E38\u0E48\u0E21 Sign Up \u0E44\u0E21\u0E48\u0E2A\u0E32\u0E21\u0E32\u0E23\u0E16\u0E04\u0E25\u0E34\u0E01\u0E44\u0E14\u0E49,2560-11-07 13:33:01,2560-11-07 13:33:01,0.068s,PASSED
uploadFile,Chrome 61.0.3163.100,\u0E40\u0E25\u0E37\u0E2D\u0E01\u0E23\u0E39\u0E1B\u0E20\u0E32\u0E1E\u0E08\u0E32\u0E01\u0E40\u0E04\u0E23\u0E37\u0E48\u0E2D\u0E07,2560-11-07 13:33:01,2560-11-07 13:33:01,0.092s,PASSED
setText,Chrome 61.0.3163.100,\u0E25\u0E1A\u0E02\u0E49\u0E2D\u0E04\u0E27\u0E32\u0E21\u0E43\u0E19\u0E01\u0E25\u0E48\u0E2D\u0E07\u0E02\u0E49\u0E2D\u0E04\u0E27\u0E32\u0E21 Username,2560-11-07 13:33:01,2560-11-07 13:33:01,0.092s,PASSED
sendKeys,Chrome 61.0.3163.100,\u0E25\u0E1A\u0E02\u0E49\u0E2D\u0E04\u0E27\u0E32\u0E21\u0E43\u0E19\u0E01\u0E25\u0E48\u0E2D\u0E07\u0E02\u0E49\u0E2D\u0E04\u0E27\u0E32\u0E21 Username,2560-11-07 13:33:01,2560-11-07 13:33:01,0.087s,PASSED
verifyElementNotClickable,Chrome 61.0.3163.100,\u0E22\u0E37\u0E19\u0E22\u0E31\u0E19\u0E1B\u0E38\u0E48\u0E21 Sign Up \u0E44\u0E21\u0E48\u0E2A\u0E32\u0E21\u0E32\u0E23\u0E16\u0E04\u0E25\u0E34\u0E01\u0E44\u0E14\u0E49,2560-11-07 13:33:01,2560-11-07 13:33:01,0.104s,PASSED
