Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Basic,Chrome 61.0.3163.100,,2560-11-07 11:37:12,2560-11-07 11:43:02,5m - 49.772s,PASSED
,,,,,,
Test Cases/1. Start Page (without login)/Single Verbatim without login,Chrome 61.0.3163.100,,2560-11-07 11:37:13,2560-11-07 11:37:57,44.644s,PASSED
openBrowser,Chrome 61.0.3163.100,,2560-11-07 11:37:13,2560-11-07 11:37:15,2.285s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2560-11-07 11:37:15,2560-11-07 11:37:16,0.228s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2560-11-07 11:37:16,2560-11-07 11:37:20,4.234s,PASSED
click,Chrome 61.0.3163.100,\u0E01\u0E14\u0E1B\u0E38\u0E48\u0E21 Predict,2560-11-07 11:37:20,2560-11-07 11:37:20,0.177s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,\u0E22\u0E37\u0E19\u0E22\u0E31\u0E19\u0E02\u0E49\u0E2D\u0E04\u0E27\u0E32\u0E21\u0E41\u0E08\u0E49\u0E07\u0E40\u0E15\u0E37\u0E2D\u0E19 Verbatim is not null,2560-11-07 11:37:20,2560-11-07 11:37:20,0.075s,PASSED
setText,Chrome 61.0.3163.100,\u0E01\u0E23\u0E2D\u0E01\u0E02\u0E49\u0E2D\u0E04\u0E27\u0E32\u0E21 predict,2560-11-07 11:37:20,2560-11-07 11:37:20,0.294s,PASSED
click,Chrome 61.0.3163.100,\u0E01\u0E14\u0E1B\u0E38\u0E48\u0E21 Predict,2560-11-07 11:37:20,2560-11-07 11:37:21,0.070s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,\u0E15\u0E23\u0E27\u0E08\u0E2A\u0E2D\u0E1A\u0E1C\u0E25\u0E25\u0E31\u0E1E\u0E18\u0E4C Predict ,2560-11-07 11:37:21,2560-11-07 11:37:39,18.115s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,\u0E15\u0E23\u0E27\u0E08\u0E2A\u0E2D\u0E1A\u0E1C\u0E25\u0E25\u0E31\u0E1E\u0E18\u0E4C Predict ,2560-11-07 11:37:39,2560-11-07 11:37:39,0.064s,PASSED
setText,Chrome 61.0.3163.100,\u0E01\u0E23\u0E2D\u0E01\u0E02\u0E49\u0E2D\u0E04\u0E27\u0E32\u0E21 predict \u0E17\u0E35\u0E48\u0E40\u0E1B\u0E47\u0E19\u0E04\u0E33\u0E2B\u0E22\u0E32\u0E1A,2560-11-07 11:37:39,2560-11-07 11:37:39,0.141s,PASSED
click,Chrome 61.0.3163.100,\u0E01\u0E14\u0E1B\u0E38\u0E48\u0E21 Predict,2560-11-07 11:37:39,2560-11-07 11:37:39,0.108s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,\u0E15\u0E23\u0E27\u0E08\u0E2A\u0E2D\u0E1A\u0E1C\u0E25\u0E25\u0E31\u0E1E\u0E18\u0E4C Predict ,2560-11-07 11:37:39,2560-11-07 11:37:57,18.219s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,\u0E15\u0E23\u0E27\u0E08\u0E2A\u0E2D\u0E1A\u0E1C\u0E25\u0E25\u0E31\u0E1E\u0E18\u0E4C critical,2560-11-07 11:37:57,2560-11-07 11:37:57,0.049s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2560-11-07 11:37:57,2560-11-07 11:37:57,0.002s,NOT_RUN
,,,,,,
Test Cases/2. Login/Sign Up,Chrome 61.0.3163.100,,2560-11-07 11:37:57,2560-11-07 11:38:14,16.686s,PASSED
openBrowser,Chrome 61.0.3163.100,\u0E40\u0E1B\u0E34\u0E14\u0E40\u0E1A\u0E23\u0E32\u0E40\u0E0B\u0E2D\u0E23\u0E4C,2560-11-07 11:37:58,2560-11-07 11:37:58,0.003s,NOT_RUN
maximizeWindow,Chrome 61.0.3163.100,\u0E02\u0E22\u0E32\u0E22\u0E2B\u0E19\u0E49\u0E32\u0E15\u0E48\u0E32\u0E07\u0E40\u0E1A\u0E23\u0E32\u0E40\u0E0B\u0E2D\u0E23\u0E4C,2560-11-07 11:37:58,2560-11-07 11:37:58,0.001s,NOT_RUN
navigateToUrl,Chrome 61.0.3163.100,\u0E40\u0E02\u0E49\u0E32\u0E2A\u0E39\u0E48 URL,2560-11-07 11:37:58,2560-11-07 11:37:58,0.001s,NOT_RUN
click,Chrome 61.0.3163.100,\u0E04\u0E25\u0E34\u0E01\u0E1B\u0E38\u0E48\u0E21 Login,2560-11-07 11:37:58,2560-11-07 11:37:58,0.213s,PASSED
scrollToElement,Chrome 61.0.3163.100,\u0E40\u0E25\u0E37\u0E48\u0E2D\u0E19\u0E2B\u0E19\u0E49\u0E32\u0E15\u0E48\u0E32\u0E07\u0E21\u0E32\u0E22\u0E31\u0E07\u0E1B\u0E38\u0E48\u0E21 Sign Up,2560-11-07 11:37:58,2560-11-07 11:37:58,0.083s,PASSED
click,Chrome 61.0.3163.100,\u0E04\u0E25\u0E34\u0E01\u0E1B\u0E38\u0E48\u0E21 Sign Up,2560-11-07 11:37:58,2560-11-07 11:37:58,0.163s,PASSED
Statement - date = new java.util.Date(),Chrome 61.0.3163.100,\u0E40\u0E01\u0E47\u0E1A\u0E40\u0E27\u0E25\u0E32\u0E1B\u0E31\u0E08\u0E38\u0E1A\u0E31\u0E19\u0E02\u0E2D\u0E07\u0E40\u0E04\u0E23\u0E37\u0E48\u0E2D\u0E07,2560-11-07 11:37:58,2560-11-07 11:37:58,0.008s,PASSED
Statement - df = new java.text.SimpleDateFormat(),Chrome 61.0.3163.100,\u0E40\u0E01\u0E47\u0E1A\u0E40\u0E27\u0E25\u0E32\u0E1B\u0E31\u0E08\u0E38\u0E1A\u0E31\u0E19\u0E02\u0E2D\u0E07\u0E40\u0E04\u0E23\u0E37\u0E48\u0E2D\u0E07,2560-11-07 11:37:58,2560-11-07 11:37:58,0.009s,PASSED
"Statement - df.applyPattern(""ddmmyyyyHHmmss"")",Chrome 61.0.3163.100,\u0E40\u0E01\u0E47\u0E1A\u0E40\u0E27\u0E25\u0E32\u0E1B\u0E31\u0E08\u0E38\u0E1A\u0E31\u0E19\u0E02\u0E2D\u0E07\u0E40\u0E04\u0E23\u0E37\u0E48\u0E2D\u0E07,2560-11-07 11:37:58,2560-11-07 11:37:58,0.007s,PASSED
setText,Chrome 61.0.3163.100,\u0E01\u0E23\u0E2D\u0E01 Username,2560-11-07 11:37:58,2560-11-07 11:37:58,0.224s,PASSED
